Index,Store Name,Address,Category,Phone,Google URL,Business Website,Rating Text,Stars,Number of Reviews,Latitude,Longitude
1,KFC Cideng Jakarta,"Jl. Tanah Abang II No.85, RT.1/RW.4",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Cideng+Jakarta/data=!4m7!3m6!1s0x2e69f5d6771145c9:0x44b486dd1667e6ec!8m2!3d-6.1758538!4d106.8123647!16s%2Fg%2F1tz0k3sh!19sChIJyUURd9b1aS4R7OZnFt2GtEQ?authuser=0&hl=id&rclk=1,,"4,4 7.858 Ulasan",NaN,,-6.1758538,106.8123647
2,KFC Juanda Jakarta,"Jl. Ir. H. Juanda No.27 1, RT.1/RW.3",Makanan Siap Saji,0811-7157-117,https://www.google.com/maps/place/KFC+Juanda+Jakarta/data=!4m7!3m6!1s0x2e69f5d0bd1570d7:0x6bd4fa11cb9c1804!8m2!3d-6.1667386!4d106.825029!16s%2Fg%2F11clv9yl9g!19sChIJ13AVvdD1aS4RBBicyxH61Gs?authuser=0&hl=id&rclk=1,,"4,4 4.203 Ulasan",NaN,,-6.1667386,106.825029
3,KFC Gunawarman,"Jl. Gunawarman Blok Q1 No.80, RT.1/RW.7",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Gunawarman/data=!4m7!3m6!1s0x2e69f175181c93c1:0xdc8a5776c04cd929!8m2!3d-6.238975!4d106.8074383!16s%2Fg%2F1v387bh7!19sChIJwZMcGHXxaS4RKdlMwHZXitw?authuser=0&hl=id&rclk=1,,"4,5 5.856 Ulasan",NaN,,-6.238975,106.8074383
4,KFC Prapatan Tugu Tani,"Jl. M.I. Ridwan Rais No.7B 14, RT.7/RW.1",Makanan Siap Saji,0811-7156-914,https://www.google.com/maps/place/KFC+Prapatan+Tugu+Tani/data=!4m7!3m6!1s0x2e69f4312219f29f:0xf6a1d55f1dbc609c!8m2!3d-6.1825!4d106.83385!16s%2Fg%2F11b6q4n78m!19sChIJn_IZIjH0aS4RnGC8HV_VofY?authuser=0&hl=id&rclk=1,,"4,5 6.768 Ulasan",NaN,,-6.1825,106.83385
5,KFC,Jl. Hayam Wuruk,Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x2e69f609ce07aec5:0xefcaa588acc009a5!8m2!3d-6.1532273!4d106.8179554!16s%2Fg%2F1tcynzf9!19sChIJxa4Hzgn2aS4RpQnArIilyu8?authuser=0&hl=id&rclk=1,,"4,3 3.180 Ulasan",NaN,,-6.1532273,106.8179554
6,KFC Cikini,"Jl. Cikini Raya No.119, RT.10/RW.4",Makanan Siap Saji,(021) 3141045,https://www.google.com/maps/place/KFC+Cikini/data=!4m7!3m6!1s0x2e69f438dc132d47:0x28cbc73c5ec35516!8m2!3d-6.1964982!4d106.8404491!16s%2Fg%2F1tf457v4!19sChIJRy0T3Dj0aS4RFlXDXjzHyyg?authuser=0&hl=id&rclk=1,,"4,4 8.679 Ulasan",NaN,,-6.1964982,106.8404491
7,KFC Kemang,"Jl. Kemang Raya No.14B, RT.11/RW.1",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Kemang/data=!4m7!3m6!1s0x2e69f179323a3b27:0x7bbd2851aa91169a!8m2!3d-6.2557535!4d106.8116975!16s%2Fg%2F1tdf3n84!19sChIJJzs6MnnxaS4RmhaRqlEovXs?authuser=0&hl=id&rclk=1,,"4,4 8.019 Ulasan",NaN,,-6.2557535,106.8116975
8,KFC Pasar Baru Jakarta,"Jl. Pintu Air Raya, RT.6/RW.1",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Pasar+Baru+Jakarta/data=!4m7!3m6!1s0x2e69f5c4801a3235:0x43b87c84155a1111!8m2!3d-6.1630771!4d106.8332475!16s%2Fg%2F1tdj6jf5!19sChIJNTIagMT1aS4RERFaFYR8uEM?authuser=0&hl=id&rclk=1,,"4,1 681 Ulasan",NaN,,-6.1630771,106.8332475
9,KFC Salemba,"Jl. Salemba Raya No.29, RT.1/RW.06, Kel",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Salemba/data=!4m7!3m6!1s0x2e69f443617d0bb1:0x69ac4c7713c92792!8m2!3d-6.194752!4d106.850088!16s%2Fg%2F1jkyswmvc!19sChIJsQt9YUP0aS4RkifJE3dMrGk?authuser=0&hl=id&rclk=1,,"4,4 7.289 Ulasan",NaN,,-6.194752,106.850088
10,KFC Pusat Gelael,"Jl. Letjen M.T. Haryono No.7, RT.1/RW.6",Makanan Siap Saji,(021) 14022,https://www.google.com/maps/place/KFC+Pusat+Gelael/data=!4m7!3m6!1s0x2e69f3a4fd5083a5:0xfd15c3ec099e1e2a!8m2!3d-6.242584!4d106.847489!16s%2Fg%2F1tg8g46d!19sChIJpYNQ_aTzaS4RKh6eCezDFf0?authuser=0&hl=id&rclk=1,,"4,5 2.496 Ulasan",NaN,,-6.242584,106.847489
